frame.number,frame.time_epoch,eth.src,eth.dst,ip.src,ip.dst,ip.ttl,_ws.col.protocol,tcp.srcport,tcp.dstport,tcp.flags.str,udp.srcport,udp.dstport,icmp.type,icmp.code,frame.len
"3932","1759281152.649152248","16:7f:ce:eb:fe:64","8a:c9:4a:eb:f3:a4","192.168.64.1","192.168.64.3","64","TCP","64908","5002","····CE····S·",,,,,"78"
"3933","1759281152.649152332","16:7f:ce:eb:fe:64","8a:c9:4a:eb:f3:a4","192.168.64.1","192.168.64.3","64","TCP","64909","8082","····CE····S·",,,,,"78"
"3934","1759281152.649187165","8a:c9:4a:eb:f3:a4","16:7f:ce:eb:fe:64","192.168.64.3","192.168.64.1","64","TCP","82","64907","·······A·R··",,,,,"54"
"3935","1759281152.649286790","8a:c9:4a:eb:f3:a4","16:7f:ce:eb:fe:64","192.168.64.3","192.168.64.1","64","TCP","5002","64908","·······A·R··",,,,,"54"
"3936","1759281152.649294331","8a:c9:4a:eb:f3:a4","16:7f:ce:eb:fe:64","192.168.64.3","192.168.64.1","64","TCP","8082","64909","·······A·R··",,,,,"54"
"3937","1759281152.649305248","16:7f:ce:eb:fe:64","8a:c9:4a:eb:f3:a4","192.168.64.1","192.168.64.3","64","TCP","64910","18988","····CE····S·",,,,,"78"
"3938","1759281152.649305373","16:7f:ce:eb:fe:64","8a:c9:4a:eb:f3:a4","192.168.64.1","192.168.64.3","64","TCP","64911","911","····CE····S·",,,,,"78"
"3939","1759281152.649305456","16:7f:ce:eb:fe:64","8a:c9:4a:eb:f3:a4","192.168.64.1","192.168.64.3","64","TCP","64912","5986","····CE····S·",,,,,"78"
"3940","1759281152.649305540","16:7f:ce:eb:fe:64","8a:c9:4a:eb:f3:a4","192.168.64.1","192.168.64.3","64","TCP","64913","8500","····CE····S·",,,,,"78"
"3941","1759281152.649313956","8a:c9:4a:eb:f3:a4","16:7f:ce:eb:fe:64","192.168.64.3","192.168.64.1","64","TCP","18988","64910","·······A·R··",,,,,"54"
"3942","1759281152.649320206","8a:c9:4a:eb:f3:a4","16:7f:ce:eb:fe:64","192.168.64.3","192.168.64.1","64","TCP","911","64911","·······A·R··",,,,,"54"
"3943","1759281152.649324540","8a:c9:4a:eb:f3:a4","16:7f:ce:eb:fe:64","192.168.64.3","192.168.64.1","64","TCP","5986","64912","·······A·R··",,,,,"54"
"3944","1759281152.649328623","8a:c9:4a:eb:f3:a4","16:7f:ce:eb:fe:64","192.168.64.3","192.168.64.1","64","TCP","8500","64913","·······A·R··",,,,,"54"
"3945","1759281152.649485331","16:7f:ce:eb:fe:64","8a:c9:4a:eb:f3:a4","192.168.64.1","192.168.64.3","64","TCP","64914","2967","····CE····S·",,,,,"78"
"3946","1759281152.649485539","16:7f:ce:eb:fe:64","8a:c9:4a:eb:f3:a4","192.168.64.1","192.168.64.3","64","TCP","64915","49176","····CE····S·",,,,,"78"
