frame.number,frame.time_epoch,eth.src,eth.dst,ip.src,ip.dst,ip.ttl,_ws.col.protocol,tcp.srcport,tcp.dstport,tcp.flags.str,udp.srcport,udp.dstport,icmp.type,icmp.code,frame.len
"3815","1759281148.641227110","8a:c9:4a:eb:f3:a4","16:7f:ce:eb:fe:64","192.168.64.3","192.168.64.1","64","TCP","7435","64879","·······A·R··",,,,,"54"
"3816","1759281148.641231068","8a:c9:4a:eb:f3:a4","16:7f:ce:eb:fe:64","192.168.64.3","192.168.64.1","64","TCP","1971","64880","·······A·R··",,,,,"54"
"3817","1759281148.641235818","8a:c9:4a:eb:f3:a4","16:7f:ce:eb:fe:64","192.168.64.3","192.168.64.1","64","TCP","32","64881","·······A·R··",,,,,"54"
"3818","1759281148.641239818","8a:c9:4a:eb:f3:a4","16:7f:ce:eb:fe:64","192.168.64.3","192.168.64.1","64","TCP","8021","64882","·······A·R··",,,,,"54"
"3819","1759281149.642070280","16:7f:ce:eb:fe:64","8a:c9:4a:eb:f3:a4","192.168.64.1","192.168.64.3","64","TCP","64882","8021","··········S·",,,,,"78"
"3820","1759281149.642071238","16:7f:ce:eb:fe:64","8a:c9:4a:eb:f3:a4","192.168.64.1","192.168.64.3","64","TCP","64881","32","··········S·",,,,,"78"
"3821","1759281149.642071405","16:7f:ce:eb:fe:64","8a:c9:4a:eb:f3:a4","192.168.64.1","192.168.64.3","64","TCP","64880","1971","··········S·",,,,,"78"
"3822","1759281149.642071488","16:7f:ce:eb:fe:64","8a:c9:4a:eb:f3:a4","192.168.64.1","192.168.64.3","64","TCP","64879","7435","··········S·",,,,,"78"
"3823","1759281149.642071571","16:7f:ce:eb:fe:64","8a:c9:4a:eb:f3:a4","192.168.64.1","192.168.64.3","64","TCP","64878","15000","··········S·",,,,,"78"
"3824","1759281149.642071655","16:7f:ce:eb:fe:64","8a:c9:4a:eb:f3:a4","192.168.64.1","192.168.64.3","64","TCP","64877","9011","··········S·",,,,,"78"
"3825","1759281149.642071738","16:7f:ce:eb:fe:64","8a:c9:4a:eb:f3:a4","192.168.64.1","192.168.64.3","64","TCP","64876","4003","··········S·",,,,,"78"
"3826","1759281149.642071821","16:7f:ce:eb:fe:64","8a:c9:4a:eb:f3:a4","192.168.64.1","192.168.64.3","64","TCP","64875","2920","··········S·",,,,,"78"
"3827","1759281149.642173321","8a:c9:4a:eb:f3:a4","16:7f:ce:eb:fe:64","192.168.64.3","192.168.64.1","64","TCP","8021","64882","·······A·R··",,,,,"54"
"3828","1759281149.642215154","8a:c9:4a:eb:f3:a4","16:7f:ce:eb:fe:64","192.168.64.3","192.168.64.1","64","TCP","32","64881","·······A·R··",,,,,"54"
"3829","1759281149.642223196","8a:c9:4a:eb:f3:a4","16:7f:ce:eb:fe:64","192.168.64.3","192.168.64.1","64","TCP","1971","64880","·······A·R··",,,,,"54"
"3830","1759281149.642227404","8a:c9:4a:eb:f3:a4","16:7f:ce:eb:fe:64","192.168.64.3","192.168.64.1","64","TCP","7435","64879","·······A·R··",,,,,"54"
"3831","1759281149.642232071","8a:c9:4a:eb:f3:a4","16:7f:ce:eb:fe:64","192.168.64.3","192.168.64.1","64","TCP","15000","64878","·······A·R··",,,,,"54"
"3832","1759281149.642236654","8a:c9:4a:eb:f3:a4","16:7f:ce:eb:fe:64","192.168.64.3","192.168.64.1","64","TCP","9011","64877","·······A·R··",,,,,"54"
"3833","1759281149.642240779","8a:c9:4a:eb:f3:a4","16:7f:ce:eb:fe:64","192.168.64.3","192.168.64.1","64","TCP","4003","64876","·······A·R··",,,,,"54"
"3834","1759281149.642244904","8a:c9:4a:eb:f3:a4","16:7f:ce:eb:fe:64","192.168.64.3","192.168.64.1","64","TCP","2920","64875","·······A·R··",,,,,"54"
"3835","1759281149.643928232","16:7f:ce:eb:fe:64","8a:c9:4a:eb:f3:a4","192.168.64.1","192.168.64.3","64","TCP","64883","2099","····CE····S·",,,,,"78"
"3836","1759281149.643928690","16:7f:ce:eb:fe:64","8a:c9:4a:eb:f3:a4","192.168.64.1","192.168.64.3","64","TCP","64884","5961","····CE····S·",,,,,"78"
"3837","1759281149.643928815","16:7f:ce:eb:fe:64","8a:c9:4a:eb:f3:a4","192.168.64.1","192.168.64.3","64","TCP","64885","62078","····CE····S·",,,,,"78"
"3838","1759281149.643928899","16:7f:ce:eb:fe:64","8a:c9:4a:eb:f3:a4","192.168.64.1","192.168.64.3","64","TCP","64886","34572","····CE····S·",,,,,"78"
"3839","1759281149.644116273","8a:c9:4a:eb:f3:a4","16:7f:ce:eb:fe:64","192.168.64.3","192.168.64.1","64","TCP","2099","64883","·······A·R··",,,,,"54"
"3840","1759281149.644145481","8a:c9:4a:eb:f3:a4","16:7f:ce:eb:fe:64","192.168.64.3","192.168.64.1","64","TCP","5961","64884","·······A·R··",,,,,"54"
"3841","1759281149.644150773","8a:c9:4a:eb:f3:a4","16:7f:ce:eb:fe:64","192.168.64.3","192.168.64.1","64","TCP","62078","64885","·······A·R··",,,,,"54"
"3842","1759281149.644154731","8a:c9:4a:eb:f3:a4","16:7f:ce:eb:fe:64","192.168.64.3","192.168.64.1","64","TCP","34572","64886","·······A·R··",,,,,"54"
"3843","1759281149.644166440","16:7f:ce:eb:fe:64","8a:c9:4a:eb:f3:a4","192.168.64.1","192.168.64.3","64","TCP","64887","5999","····CE····S·",,,,,"78"
"3844","1759281149.644166648","16:7f:ce:eb:fe:64","8a:c9:4a:eb:f3:a4","192.168.64.1","192.168.64.3","64","TCP","64888","2968","····CE····S·",,,,,"78"
"3845","1759281149.644166731","16:7f:ce:eb:fe:64","8a:c9:4a:eb:f3:a4","192.168.64.1","192.168.64.3","64","TCP","64889","5560","····CE····S·",,,,,"78"
"3846","1759281149.644166815","16:7f:ce:eb:fe:64","8a:c9:4a:eb:f3:a4","192.168.64.1","192.168.64.3","64","TCP","64890","2920","····CE····S·",,,,,"78"
"3847","1759281149.644166898","16:7f:ce:eb:fe:64","8a:c9:4a:eb:f3:a4","192.168.64.1","192.168.64.3","64","TCP","64891","4003","····CE····S·",,,,,"78"
"3848","1759281149.644177523","8a:c9:4a:eb:f3:a4","16:7f:ce:eb:fe:64","192.168.64.3","192.168.64.1","64","TCP","5999","64887","·······A·R··",,,,,"54"
"3849","1759281149.644182190","8a:c9:4a:eb:f3:a4","16:7f:ce:eb:fe:64","192.168.64.3","192.168.64.1","64","TCP","2968","64888","·······A·R··",,,,,"54"
"3850","1759281149.644187190","8a:c9:4a:eb:f3:a4","16:7f:ce:eb:fe:64","192.168.64.3","192.168.64.1","64","TCP","5560","64889","·······A·R··",,,,,"54"
"3851","1759281149.644191106","8a:c9:4a:eb:f3:a4","16:7f:ce:eb:fe:64","192.168.64.3","192.168.64.1","64","TCP","2920","64890","·······A·R··",,,,,"54"
"3852","1759281149.644195148","8a:c9:4a:eb:f3:a4","16:7f:ce:eb:fe:64","192.168.64.3","192.168.64.1","64","TCP","4003","64891","·······A·R··",,,,,"54"
"3853","1759281150.643341249","16:7f:ce:eb:fe:64","8a:c9:4a:eb:f3:a4","192.168.64.1","192.168.64.3","64","TCP","64891","4003","··········S·",,,,,"78"
"3854","1759281150.643342499","16:7f:ce:eb:fe:64","8a:c9:4a:eb:f3:a4","192.168.64.1","192.168.64.3","64","TCP","64890","2920","··········S·",,,,,"78"
"3855","1759281150.643342583","16:7f:ce:eb:fe:64","8a:c9:4a:eb:f3:a4","192.168.64.1","192.168.64.3","64","TCP","64889","5560","··········S·",,,,,"78"
"3856","1759281150.643342708","16:7f:ce:eb:fe:64","8a:c9:4a:eb:f3:a4","192.168.64.1","192.168.64.3","64","TCP","64888","2968","··········S·",,,,,"78"
"3857","1759281150.643342791","16:7f:ce:eb:fe:64","8a:c9:4a:eb:f3:a4","192.168.64.1","192.168.64.3","64","TCP","64887","5999","··········S·",,,,,"78"
"3858","1759281150.643342874","16:7f:ce:eb:fe:64","8a:c9:4a:eb:f3:a4","192.168.64.1","192.168.64.3","64","TCP","64886","34572","··········S·",,,,,"78"
"3859","1759281150.643342958","16:7f:ce:eb:fe:64","8a:c9:4a:eb:f3:a4","192.168.64.1","192.168.64.3","64","TCP","64885","62078","··········S·",,,,,"78"
"3860","1759281150.643343041","16:7f:ce:eb:fe:64","8a:c9:4a:eb:f3:a4","192.168.64.1","192.168.64.3","64","TCP","64884","5961","··········S·",,,,,"78"
